Date;Month;Year;Day;Hour;Grid;PV;Storage;C65B;C65
6/12/2014 13:00;12;2014;6;13;97.95440585;-8.123767066;-1.600000024;0.10630272;0.146096641
6/12/2014 14:00;12;2014;6;14;99.03792827;-5.108129483;-1.600000024;0.106287815;0.146410653
6/12/2014 15:00;12;2014;6;15;117.8977811;-1.588676865;-1.600000024;0.10623345;0.145577951
6/12/2014 16:00;12;2014;6;16;114.4085851;-0.090256656;-1.600000024;0.10574562;0.144676123
6/12/2014 17:00;12;2014;6;17;127.586519;0.022468896;-1.600000024;0.105895105;0.145679567
6/12/2014 18:00;12;2014;6;18;119.1712991;0.022106537;-1.600000024;0.106106305;0.14586522
6/12/2014 19:00;12;2014;6;19;119.0028009;0.021409793;-1.600000024;0.105989525;0.14510709
6/12/2014 20:00;12;2014;6;20;117.8317652;0.021052766;-1.600000024;0.106296535;0.146009537
6/12/2014 21:00;12;2014;6;21;116.1384789;0.021538151;-1.600000024;0.106200381;0.146375786
6/12/2014 22:00;12;2014;6;22;105.1322493;0.021270937;-1.600000024;0.106721695;0.146188409
6/12/2014 23:00;12;2014;6;23;98.07559815;0.020806768;-1.600000024;0.106344755;0.145199271
7/12/2014 0:00;12;2014;7;0;94.05751503;0.020439777;-1.600000024;0.106241803;0.146850159
7/12/2014 1:00;12;2014;7;1;95.4427709;0.019719754;-1.600000024;0.10602384;0.146018523
7/12/2014 2:00;12;2014;7;2;95.11691233;0.020442988;-1.600000024;0.106043525;0.14591521
7/12/2014 3:00;12;2014;7;3;100.423748;0.020243333;-1.600000024;0.10606775;0.144643954
7/12/2014 4:00;12;2014;7;4;94.974742;0.019720524;-1.600000024;0.106235985;0.14485244
7/12/2014 5:00;12;2014;7;5;114.0468398;0.020148355;-1.600000024;0.105969425;0.144978786
7/12/2014 6:00;12;2014;7;6;117.673439;0.019540189;-1.600000024;0.106032574;0.145848611
7/12/2014 7:00;12;2014;7;7;109.9254949;0.019932949;-1.600000024;0.1060381;0.146797461
7/12/2014 8:00;12;2014;7;8;90.83244362;-1.557155233;-1.600000024;0.1065277;0.146782136
7/12/2014 9:00;12;2014;7;9;88.68889491;-7.566095448;-1.600000024;0.106514225;0.146324982
7/12/2014 10:00;12;2014;7;10;113.6256416;-11.65755645;-1.600000024;0.106329995;0.147091119
7/12/2014 11:00;12;2014;7;11;108.4844307;-19.6772783;-1.600000024;0.106143725;0.145727771
7/12/2014 12:00;12;2014;7;12;90.68032824;-16.82177372;-1.600000024;0.10616793;0.14619836
7/12/2014 13:00;12;2014;7;13;86.56393903;-14.18473395;-1.600000024;0.106496885;0.145035456
7/12/2014 14:00;12;2014;7;14;92.13430583;-9.176223103;-1.600000024;0.106444475;0.144504841
7/12/2014 15:00;12;2014;7;15;106.9775712;-5.743061211;-1.600000024;0.106715405;0.14532998
7/12/2014 16:00;12;2014;7;16;103.4333668;-0.169238687;-1.600000024;0.106188295;0.14541557
7/12/2014 17:00;12;2014;7;17;117.3605887;0.022931906;-1.600000024;0.106044465;0.145409734
7/12/2014 18:00;12;2014;7;18;116.1691797;0.022060252;-1.600000024;0.106095535;0.143317954
7/12/2014 19:00;12;2014;7;19;119.7980985;0.022288241;-1.600000024;0.10598975;0.145428149
7/12/2014 20:00;12;2014;7;20;123.9035372;0.02129507;-1.600000024;0.106370335;0.145929684
7/12/2014 21:00;12;2014;7;21;120.7831361;0.020759351;-1.600000024;0.1071463;0.146476347
7/12/2014 22:00;12;2014;7;22;111.3035049;0.020804663;-1.600000024;0.106767255;0.145346407
7/12/2014 23:00;12;2014;7;23;101.4823863;0.019926131;-1.600000024;0.106463149;0.146143716
